sentence,biological_process,cellular_component,molecular_function
This key finding was uncovered while investigating the nuclear pore complex (NPC) and the mechanisms of nuclear protein import.,0.9818421602249146,0.008637907914817333,0.009519893676042557
"According to the model put forth by several groups, movement through the NPC is driven by a gradient of two different conformational forms of Ran, a small GTP-binding protein [[7]].",0.991176962852478,0.003571314038708806,0.005251717753708363
GTP-Ran is enriched on the nuclear face of the NPC where it helps unload the cargo from nuclear import receptors.,0.14809167385101318,0.03473839908838272,0.8171699047088623
"On the cytosolic side, however, the predominating Ran form is GDP-Ran due to the activity of the GTP-hydrolyzing Ran GTPase-activating protein 1 (RanGAP1) protein.",0.016413355246186256,0.9616881012916565,0.021898513659834862
"Though unmodified RanGAP1 is cytosolic and diffuse, the SUMO-modified RanGAP1 is tethered onto the NPC via interaction with a nucleoporin called RanBP2, which further protects RanGAP1 from sentrin-specific protease (SENP)-mediated desumoylation (see below) [[6, 8, 9]].",0.2625567317008972,0.3361321985721588,0.4013110399246216
"Our current knowledge of sumoylation as a covalent modification dates back to these early studies on nuclear transport, which also provided initial clues on the distinct biochemical functions of this ubiquitin-like modification, especially those pertaining to subcellular target localization.",0.9885125160217285,0.004454491194337606,0.007032991852611303
"Today, we know that under normal physiological conditions, RanGAP1 constitutes the major cellular reservoir for the limited amount of SUMO1, from where the modifier can be dynamically mobilized to be conjugated onto other targets as needed.",0.38112112879753113,0.08392150700092316,0.5349573493003845
"This might explain why this PTM was initially characterized on RanGAP1, among a few other proteins.",0.91885906457901,0.02242741361260414,0.05871349945664406
"The first clinical link
Today, we know that a key feature of sumoylation is its association with PML NBs, membrane-less subnuclear compartments organized by PML protein where specific enrichment of many SUMO-modified client proteins can be observed [[10, 11]].",0.4707045257091522,0.43292945623397827,0.0963660329580307
"These fascinating structures serve as a stopping point for many functionally distinct proteins, including the master transcriptional factor p53 and its regulators, through which they can modulate cellular homeostasis and stress response [[12, 13]].",0.9317207336425781,0.06290880590677261,0.005370409693568945
"Originally discovered by electron microscopy in 1960s, PML NBs regained attention in the early 90s after scientists observed that a rare yet aggressive type of cancer called acute promyelocytic leukemia (APL) presented with disruption of these structures [[14-16]].",0.3719709515571594,0.4202336370944977,0.2077954113483429
"APL was initially characterized in 1957 by Hillestad [[17]] and is defined by the unique chromosomal translocation t(15:17) [[18, 19]].",0.578442394733429,0.25070440769195557,0.17085321247577667
"Subsequent studies led to the discovery of the PML gene at this breakage site [[20-22]], generating the PML/retinoic acid receptor alpha (RARα) fusion oncoprotein that we now know interferes with PML NB formation and its downstream signaling pathways.",0.9972385168075562,0.0014962921850383282,0.0012650672579184175
"Having received an initial momentum with these early studies, the field of APL research has expanded ever since, and its path has crossed with that of the SUMO field on various occasions.",0.8855407238006592,0.01706182025372982,0.09739747643470764
"Today, APL is widely considered to be a prototypical paragon of precision medicine, wherein our detailed understanding of the pathogenesis is matched by an equally delineated description of the operational mechanisms underlying the cure [[16, 23]].",0.30096060037612915,0.09468385577201843,0.60435551404953
"Intriguingly, both the pathogeny and the cure of APL rely on SUMO.",0.993794322013855,0.0019442661432549357,0.004261366091668606
"Sumoylation of the driver oncoprotein PML/RARα is necessary for cellular transformation [[24]], whereas hyper-sumoylation of PML/RARα precipitates its targeted destruction at the proteasome [[25-27]].",0.9796098470687866,0.002593891229480505,0.01779620349407196
"This latter pathway, which is engaged by the curative combination therapy consisting of arsenic trioxide and all-trans retinoic acid, leads to the eradication of APL blasts in over 95% of cases in a clear display of oncogene addiction.",0.9982845187187195,0.0006678451900370419,0.001047594822011888
"In the nonpathological state, the PML and SUMO proteins exist in a state of reciprocal regulation.",0.5637746453285217,0.34011733531951904,0.096108078956604
"SUMO heavily modifies PML, and in turn, PML facilitates the sumoylation of a large number of critical proteins by concentrating them into NBs where it serves as the scaffold [[28]].",0.3155025839805603,0.021405035629868507,0.6630923748016357
The relationship between PML and SUMO will be further explored in the following paragraphs when we discuss two emerging fields of study: en masse sumoylation of protein complexes and SUMO-induced protein destruction.,0.9169275760650635,0.02095157280564308,0.06212083622813225
"In addition, as the pathological and potentially therapeutic roles of SUMO extend far beyond APL, we will discuss how continuous discoveries uncovering SUMO’s participation in an immense range of cellular mechanisms inform our perspective on numerous unrelated disorders, including cancer, neurodegeneration, and infection.",0.5639438629150391,0.09541457146406174,0.340641587972641
"Discovery of UBC9 and early functional studies
The SUMO conjugation cascade flows similarly to the ubiquitylation cascade, in that SUMO attachment is implemented via the activities of E1 (activating), E2 (conjugating), and E3 (ligase) enzymes (Fig.",0.9908667802810669,0.0031756211537867785,0.005957501940429211
1).,0.15289363265037537,0.21949467062950134,0.6276116967201233
"The central component of this machinery is the universal SUMO conjugase UBC9, which was also initially characterized in yeast [[29]].",0.2696102559566498,0.6776247024536133,0.05276508256793022
"Studying ubiquitin-mediated cyclin degradation, the Jentsch laboratory noted that depletion of this newly identified ‘ubiquitin’ conjugating enzyme impeded cell cycle progression.",0.9739691019058228,0.007247254718095064,0.018783684819936752
"The human homolog of yeast UBC9 was identified a year later by the very team that co-discovered human SUMO, once again during their studies on RAD51/RAD52-mediated DNA repair [[30]].",0.8208028078079224,0.16450287401676178,0.01469433307647705
The authors were employing a yeast two-hybrid system using human RAD52 as bait in their search for novel players of this repair pathway when they fished out human UBC9 [(named ubiquitin-conjugating enzyme E2 I (UBE2I)] as an interactor.,0.9842866063117981,0.007278637494891882,0.008434800431132317
"Furthermore, they opened a can of worms by providing the initial clues of p53 sumoylation, with data indicating that UBE2I interacts also with this major tumor suppressor.",0.2521864175796509,0.15071149170398712,0.5971020460128784
"Since then, much has been learned about the mechanisms that control the sumoylation of p53 and its partners, yet the significance of this particular modification in tumorigenesis is still unclear and actively being investigated.",0.9974929094314575,0.0010924740927293897,0.00141468970105052
"Details are in the caption following the image
Fig.",0.6358500123023987,0.3334110677242279,0.03073892928659916
"1
Open in figure viewer
PowerPoint
The SUMO (de)conjugation pathway and consequences of sumoylation.",0.05838780850172043,0.14872342348098755,0.7928887009620667
"The SUMO protein is processed by a protease to expose a diglycine (–GG) residue, yielding the mature peptide.",0.9961681962013245,0.0015965388156473637,0.0022352489177137613
"The mature SUMO is attached to a heterodimeric E1 complex (SAE1/UBA2), which in turn catalyzes the transfer of the peptide onto the central E2 enzyme (UBC9).",0.12016155570745468,0.7608339190483093,0.11900453269481659
The E2 enzyme then may directly catalyze the attachment of SUMO to the substrate (not shown) or alternatively may recruit an additional E3 enzyme to confer further substrate specificity.,0.5711712837219238,0.06579624116420746,0.36303243041038513
"SUMO deconjugation can then be catalyzed by SUMO proteases, rendering sumoylation a reversible modification.",0.9772171378135681,0.004440985154360533,0.018341830000281334
"As depicted, sumoylation results in biochemical alterations on its substrate, which in turn may affect cellular and physiological processes, eventually contributing to health and disease states.",0.9887050986289978,0.005519054364413023,0.005775866564363241
"Shortly after the discovery of UBC9, four groups independently provided the biochemical evidence for its role as a SUMO conjugase [[31-34]].",0.9718329310417175,0.006458564195781946,0.021708441898226738
"A few years later, two back-to-back stories by the groups of Ronald Hay and Giannino del Sal independently corroborated p53 sumoylation [[35, 36]].",0.830330491065979,0.16192378103733063,0.007745718117803335
"While the consequences of this modification were not completely clear at that point, the nascent SUMO literature suggested that, in contrast to ubiquitylation, sumoylation did not induce protein degradation, but served to alter other properties such as subcellular localization, as in the case of RanGAP1 [[5, 6]].",0.9971625208854675,0.0012958577135577798,0.0015416387468576431
"Furthermore, another report had proposed a model where NF-kappa-B inhibitor alpha (IκBα) sumoylation competed with its ubiquitylation for the same residue to enhance its stability [[37]].",0.9367275834083557,0.03650975599884987,0.026762742549180984
"Consistent with these results, the authors concluded that the sumoylation of p53 did not trigger its degradation, but enhanced its transcriptional activity.",0.9887626767158508,0.0033789437729865313,0.007858348079025745
"Nevertheless, extrapolating this conclusion to other transcription factors proved difficult, as a subsequent report pointed out that SUMO conjugation to c-JUN appeared to suppress its transactivation potential [[38]].",0.9297916293144226,0.011918807402253151,0.05828958377242088
"Later studies also discarded the notion that SUMO was purely antagonistic to ubiquitin, as sumoylation was found to trigger the recruitment of a specific class of ubiquitin ligases to induce ubiquitin-dependent proteasomal degradation.",0.9917184114456177,0.004203563090413809,0.0040779258124530315
"Indeed, after continuous discoveries of proteins undergoing SUMO-dependent ubiquitin modification, poly-sumoylation seemed mainly as ancillary to ubiquitylation.",0.7896093130111694,0.021302221342921257,0.18908849358558655
"Biochemical and structural characterization of the SUMO pathway
Despite its similarities and overlapping functions with ubiquitylation, the sumoylation process has special features that set it apart, and its functional capabilities extend far beyond providing an additional upstream layer of regulation and complexity for proteasomal degradation.",0.9979668259620667,0.0008627149509266019,0.0011703760828822851
"Unlike ubiquitin, which relies on a host of E2 and E3 enzymes to interact with its targets, SUMO has a much more limited enzymatic toolkit to work with, where many components serve as pleiotropic regulatory points.",0.0787959098815918,0.04072561115026474,0.88047856092453
"The initial step of the cascade involves the ATP-dependent activation of SUMO, and this step is catalyzed by the SAE1/UBA2 heterodimer, which was also discovered by the laboratories of Ronald Hay and Günter Blobel (Fig.",0.9907297492027283,0.0025234094355255365,0.0067468793131411076
"1) [[32, 39, 40]].",0.027502523735165596,0.04378736391663551,0.9287100434303284
"The subsequent conjugation step constitutes the absolute convergence point for the machinery, with UBC9 serving as the only E2 enzyme.",0.9974938631057739,0.001093954429961741,0.0014122328720986843
"In addition, UBC9 can also fulfill the ligase function of the sumoylation machinery by directly catalyzing the transfer of SUMO onto the target sumoylation motifs.",0.23469455540180206,0.15130573511123657,0.6139997243881226
The essential roles played in the cell by UBC9 (and by extension sumoylation) were uncovered in functional studies.,0.8458924293518066,0.04413246363401413,0.10997507721185684
Dieckhoff et al.,0.279831200838089,0.0888531506061554,0.6313157081604004
showed that the deletion of UBC9 or the only SUMO gene (SMT3) in S. cerevisiae causes loss of cell viability [[41]].,0.3432992100715637,0.012960787862539291,0.6437399387359619
Nacerddine et al.,0.26910704374313354,0.1396133452653885,0.5912796258926392
created a homozygous UBC9 knockout mouse line and observed an embryonic lethal phenotype with blastocysts displaying gross defects in the architectural integrity and organization of the nucleus [[42]].,0.0299929641187191,0.94500732421875,0.02499973401427269
"Importantly, SUMO1-deficient mice and SUMO3-deficient mice are viable due to compensation by the most abundant SUMO family member SUMO2 [[43-45]].",0.22797368466854095,0.19674192368984222,0.5752844214439392
"Notwithstanding the importance and functional versatility of UBC9 as a conjugase and a ligase, there is a diverse repertoire of E3 enzymes, such as the abovementioned RanBP2, that can be recruited to confer further catalytic efficiency and substrate specificity for SUMO attachment.",0.308102011680603,0.030314475297927856,0.6615835428237915
"In parallel to functional studies, many groups also strived to resolve the structures of SUMO machinery components to fully appreciate how they work on a molecular level.",0.9145010113716125,0.04528863728046417,0.04021036624908447
"The first 3-dimensional NMR structure of SUMO1 was presented shortly after its discovery [[46]] and revealed substantial similarities to ubiquitin [[47, 48]].",0.005710070952773094,0.9925724267959595,0.0017174655804410577
"According to this, although SUMO shares only 18% amino acid sequence identity with ubiquitin, the global structures of the two peptides are remarkably similar.",0.20897947251796722,0.019744284451007843,0.7712762355804443
"Both SUMO and ubiquitin feature the classical “ββαββαβ” ubiquitin fold, as well as a conserved position for the C-terminal Gly–Gly residues that are required for isopeptide bond formation with the substrate (Fig.",0.08678960055112839,0.4094263017177582,0.5037840604782104
1).,0.15289363265037537,0.21949467062950134,0.6276116967201233
"In addition, SUMO1 sports a long and flexible N terminus that protrudes from its ubiquitin core.",0.031655095517635345,0.8057371377944946,0.16260775923728943
The similarities between these two PTMs extend beyond having analogous enzymatic machineries or structures.,0.9753139615058899,0.022426968440413475,0.002259083790704608
"Both ubiquitin and SUMO moieties are targeted to the ϵ-amino group on acceptor lysine residue, with SUMO machinery predominantly recognizing lysines that reside within the larger consensus motif of ψKxD/E (where ψ denotes a large hydrophobic residue and x any residue) [[49, 50]].",0.6324144601821899,0.08233903348445892,0.28524649143218994
"Over the years, researchers identified many other noncanonical motifs that UBC9 can dock onto, which have recently been discussed in detail in excellent reviews [[51-55]].",0.9843615293502808,0.010434993542730808,0.005203458946198225
The structure of UBC9 and the nature of its interactions with SUMO E3 ligases or target proteins have been explored in elegant studies [[56-62]].,0.0031841695308685303,0.9951162338256836,0.0016995362238958478
The first X-ray crystal structure of murine UBC9 (identical to human homolog) was published at 2 Å resolution in 1997 [[60]].,0.009864946827292442,0.9879705309867859,0.002164448145776987
"Accordingly, UBC9 is a single domain protein, 50% of which is comprised of secondary structures forming what is called a typical Ubc fold.",0.1537533700466156,0.13862226903438568,0.7076243758201599
"While the SUMO-conjugating activity of UBC9 was unknown at the time, the authors noted significant differences from other ubiquitin-conjugating enzymes despite having similar overall tertiary structures [[60]], and the distinctive structural features of UBC9 were confirmed a year later [[59]].",0.5641922950744629,0.11493474245071411,0.320872962474823
"In particular, the architecture of the active site surrounding the catalytic cysteine (Cys93) reflects the specificity of UBC9 for SUMO rather than ubiquitin.",0.6107005476951599,0.19028887152671814,0.19901055097579956
"Moreover, the unique surface charge distribution of the protein that amounts to a strong overall electrostatic dipole explains its ability to interact with an exceptionally wide variety of proteins, including the E1 enzyme.",0.644593358039856,0.09165889024734497,0.2637477219104767
"The N-terminal region of UBC9 was also reported to be important for noncovalent interactions with SUMO paralogs and for receiving the SUMO1 moiety from E1 [[57, 63]].",0.004664861597120762,0.9930838346481323,0.0022513074800372124
"In 2002, Chris Lima’s group unveiled the first-ever structure of an E2 UBC in complex with a substrate by docking UBC9 onto RanGAP1 [[62]].",0.20874127745628357,0.4600626826286316,0.33119603991508484
This complex revealed a unique platform on the UBC9 catalytic site that participates in electrostatic interactions and hydrogen bonding with the RanGAP1 acceptor lysine.,0.005993524566292763,0.9919745326042175,0.0020319356117397547
Another observation was the formation of additional interactions between RanGAP1 and UBC9 that extend beyond those around the consensus sumoylation motif.,0.9903841018676758,0.004203380085527897,0.005412451922893524
"Shortly thereafter, similar interactions were reported in NMR structural studies that employed peptide particles carrying p53 and c-JUN SUMO conjugation sites [[58]].",0.9876946210861206,0.005172122269868851,0.0071332924999296665
"A number of ubiquitin E2 enzymes can bind members of the tripartite motif (TRIM) family of E3 ligases, which facilitate the transfer of ubiquitin moieties onto substrates by bridging them with the ubiquitin-E2 complex [[64]].",0.03021233342587948,0.9159221649169922,0.05386543646454811
"Upon dimerization, TRIM proteins interact with an E2 through their really interesting new gene (RING) domains [[65-67]].",0.9886881709098816,0.0028536224272102118,0.008458217605948448
"Interestingly, aside from being a SUMO substrate, PML is also a TRIM protein whose RING domain interacts only with UBC9 rather than with a ubiquitin E2 enzyme [[68]].",0.13368329405784607,0.3758034408092499,0.49051323533058167
"While other E3 RINGs are known to form dimers, a high-resolution crystal structure revealed that the PML RING domain forms a tetrameric torus, ensuring efficient UBC9 recruitment and PML sumoylation [[69]].",0.007575249299407005,0.9847591519355774,0.007665564306080341
"Thus, evolutionary processes have produced multiple modalities of UBC9-substrate interactions, likely to accommodate the plethora of substrates with unrelated functions that all rely on this unique E2 enzyme for modification.",0.9989120960235596,0.0005612954264506698,0.0005265141953714192
"SUMO paralogs and chain formation
Once conjugated to their targets, both ubiquitin and SUMO can form extensive polypeptide chains thanks to the presence of suitable motifs on both modifiers.",0.9915496110916138,0.0037258630618453026,0.004724476020783186
Ubiquitin contains seven lysine residues that can themselves be ubiquitylated to form distinct branching patterns with different functions [[70]].,0.06331184506416321,0.8733419179916382,0.0633462518453598
"In the late 90s, novel SUMO-encoding genes were identified in both human and mouse genomes, and researchers quickly noted the functional heterogeneity between their products.",0.8988745212554932,0.07547029107809067,0.025655219331383705
"Of the 5 SUMO paralogs in the human genome identified to date, only SUMO2 and SUMO3 (which have 97% peptide sequence similarity and are collectively referred to as SUMO2/3) appeared to carry an internal SUMO consensus motif, enabling the creation of topologically uniform poly-SUMO chains via iterative linkages on K11 [[71]].",0.6535220146179199,0.2848867177963257,0.0615912601351738
"SUMO1, on the other hand, was thought to participate in these chains solely as a terminal cap to preclude further elongation [[72]].",0.10983696579933167,0.16719770431518555,0.72296541929245
"However, this classical model of chain formation is being superseded by a newer understanding in light of more recent findings.",0.9413027763366699,0.0213053897023201,0.037391889840364456
"A proteomic analysis of more than 4000 sumoylation sites in HeLa cells indicated that other internal lysine residues could also engage in chain formation [[73]], even permitting branching [[74]].",0.3351118266582489,0.6168591380119324,0.048029009252786636
"An inverted sumoylation motif on SUMO1 (centering on K7) was also found to promote chain formation [[75, 76]].",0.008925550617277622,0.9866083860397339,0.004466049838811159
Hendriks et al.,0.019732441753149033,0.007417445536702871,0.9728500843048096
[[76]] recently carried out a large-scale proteomic analysis coupled with a peptide-level immuno-enrichment strategy to map more than 14 000 endogenous SUMO2/3 target sites in human cells and also pinpointed nearly 2000 sites in mouse tissues.,0.9191663265228271,0.021348165348172188,0.05948549881577492
"Investigation of the endogenous SUMO chain topology in human cells indicated that in addition to K11 on SUMO2/3, K7, K21 and K33 could all significantly engage in chain formation and that SUMO1 was also modified on K7.",0.9939780235290527,0.00183087307959795,0.004191065672785044
"Interestingly, the authors found that other lysine residues on SUMO1 were modified by SUMO2/3 under stress conditions.",0.3778643012046814,0.35298100113868713,0.2691546678543091
"Indeed, in human cells exposed to stress or in mouse tissues, the degree of modification of these individual sites was visibly different, hinting at the existence of regulatory mechanisms that control SUMO chain topology [[76]].",0.8892703056335449,0.02664089947938919,0.0840887799859047
"Finally, chain formation may also be affected by phosphorylation or acetylation of the SUMO proteins themselves, further increasing the signaling complexity and versatility [[74, 77]].",0.9675409197807312,0.006632065400481224,0.02582707442343235
"As of 2020, the field still has limited insight into the role of poly-SUMO chains.",0.7112358212471008,0.10051459074020386,0.1882496178150177
"Poly-sumoylation, as well as multi-sumoylation (sumoylation of multiple lysines on a given target surface), can create a unique topology that can further be recognized by certain SUMO-targeted ubiquitin E3 ligases (STUbL), which can initiate proteolytic or nonproteolytic ubiquitylation of the substrate.",0.924368679523468,0.014591329731047153,0.06103990226984024
"Indeed, mixed SUMO-ubiquitin chains can be formed through ubiquitylation of SUMO and vice versa [[74]].",0.18298368155956268,0.37449419498443604,0.4425221383571625
"As described above, SUMO1 is mostly found in conjugates and can preferentially modify certain high-affinity substrates, with RanGAP1 being the most notable example.",0.30359169840812683,0.26390188932418823,0.43250641226768494
"Accordingly, the in vivo quantity of free SUMO1 peptides seems to be limiting.",0.4716798663139343,0.013804646208882332,0.5145154595375061
"On the other hand, a relatively abundant pool of unconjugated SUMO2/3 is maintained in the cells and can be mobilized onto targets massively in response to protein-damaging stresses such as heat shock [[78-80]].",0.1507043093442917,0.809014618396759,0.04028100147843361
"As hinted above, the advent of novel SUMO purification technologies, coupled with highly sensitive detection methods, allowed proteome-wide tracking of SUMO2/3 conjugation and chain formation.",0.9613417983055115,0.008935073390603065,0.02972312457859516
"For example, both SUMO2 and SUMO3 were shown to be essential in helping cells to survive through hyperthermic stress by forming polymeric conjugates on a wide variety of proteins that function in critical cellular activities that involve folding, degradation, transcription, translation, apoptosis, cell cycle [[81]].",0.2295653074979782,0.1291276514530182,0.6413070559501648
"In line with a physiological role for SUMO chains in fighting cytopathic insults, a chain-interactor STUbL called RING finger protein 4 (RNF4) was shown to mediate an efficient cellular response to genotoxic stress and DNA damage [[82]].",0.39203310012817383,0.22096067667007446,0.38700631260871887
"Intriguingly, the ubiquitin-specific protease 11 (USP11), a known component of the DNA damage response, was suggested to counteract and balance RNF4 action by deubiquitylating hybrid SUMO-ubiqutin chains [[83]].",0.6694347858428955,0.04717247560620308,0.28339269757270813
A recent study by Alfred Vertegaal’s group also demonstrated the pervasiveness of SUMO chain formation in the cell by knocking down the poly-SUMO chain eraser SENP6.,0.9061799049377441,0.06971941888332367,0.02410072833299637
"This allowed them to identify numerous poly-SUMO substrates, among which was a highly interconnected network of proteins including the constitutive centromere-associated network (CCAN) subunits, several DNA damage response factors, and the NB organizer PML [[84]].",0.6321821212768555,0.014471571892499924,0.3533463478088379
A similar proteomic profiling study conducted by Stefan Müller corroborated a role for SENP6 and poly-sumoylation both at the centromere and in orchestrating DNA damage response [[85]].,0.9374205470085144,0.05096490681171417,0.011614600196480751
"In contrast to these well-characterized paralogs, SUMO4 and SUMO5 may have more obscure functions that largely remain enigmatic.",0.9527277946472168,0.012810508720576763,0.03446172550320625
"SUMO4 was initially discovered in genetic fine-mapping studies where a M55V substitution on this novel protein was strongly associated with type 1 diabetes [[86, 87]].",0.10274699330329895,0.733312726020813,0.1639402061700821
"While SUMOs 1–3 are widely expressed in human tissues, SUMO4 expression is restricted to kidney, spleen, placenta and lymph nodes [[86, 88, 89]].",0.0652032271027565,0.1062767505645752,0.8285200595855713
"The authors also suggested that SUMO4 could negatively regulate NFκB signaling, possibly by modifying IκBα [[86]].",0.9386183619499207,0.017071720212697983,0.04430996999144554
"On the other hand, SUMO4 contains a unique C-terminal proline residue (P90, instead of a glutamine) that impairs its SENP-mediated maturation, which would preclude its covalent attachment to substrates via an isopeptide bond [[90]].",0.005922853481024504,0.9578863382339478,0.03619080409407616
"Further studies are still needed to shed light on the basic biology of SUMO4, to investigate its potential functions as a noncovalent interactor (rather than a modifier) as previously suggested for SUMO1 [[91]], and to better characterize its roles in diabetes susceptibility [[92]].",0.9955775737762451,0.0020353065337985754,0.002387138083577156
"SUMO5 is a recently discovered paralog whose expression is also restricted to specific tissues such as testes and peripheral blood leukocytes, where it may regulate PML NB formation and stability [[93]].",0.13125960528850555,0.5342057943344116,0.334534615278244
"The role of SUMO-interacting motifs
Another mysterious aspect of sumoylation is the commonly observed phenomenon of preferential attachment of a particular SUMO paralog to a given lysine residue.",0.8475050330162048,0.0715448260307312,0.08095020055770874
"While still poorly understood, a first clue on how paralog-specific conjugation could occur on targets came from studies by Ronald Hay in 2005.",0.4506210386753082,0.37255167961120605,0.1768273115158081
"The authors showed that RanBP2, which displays an E3 ligase activity for a set of substrates including SP100 and PML, contained a specific binding site for SUMO1, but not SUMO2.",0.7219594120979309,0.12587295472621918,0.15216760337352753
"This would help with the recruitment of SUMO1-loaded UBC9 to form a SUMO1-E2, E3-substrate complex, selectively conjugating the latter with SUMO1 [[61]].",0.7712282538414001,0.013934500515460968,0.2148372381925583
"Another source of paralog-specific modification is the presence of multiple SENP family members (see below) that can preferentially remove SUMO1 or SUMO2/3, making way for modification of the sumoylation motif by the other paralogs [[94, 95]].",0.987490713596344,0.005184003617614508,0.007325383834540844
"Finally, hydrophobic stretches called SUMO-interacting motifs (SIMs), which normally mediate noncovalent interactions with SUMO-modified substrates [[96]], may also facilitate interactions with UBC9 carrying a particular SUMO paralog under certain circumstances, leading to the isoform-specific modification of the SIM-bearing protein.",0.0034346880856901407,0.9938638210296631,0.00270155631005764
"This was reported to be the case for the ubiquitin-specific protease USP25, which carries a seven-amino-acid-long SIM that is required for its selective modification by SUMO2/3 [[97]].",0.9279073476791382,0.032068245112895966,0.04002443701028824
Preferential modification of BLM by SUMO2/3 is also mediated by analogous noncovalent SUMO-SIM interactions [[98]].,0.9401560425758362,0.0047899046912789345,0.05505407974123955
"Finally, a recent study showed that CRISPR-mediated deletion of a zinc finger protein called ZNF451, which also partially localizes to PML NBs, markedly impaired stress-induced global SUMO2/3 chain conjugation [[99]].",0.8528187870979309,0.04232696071267128,0.1048542857170105
"ZNF451 seems to be a SUMO2/3-specific E3 ligase, which also possesses an E4 ‘chain elongase’ activity.",0.03423408418893814,0.7702030539512634,0.19556285440921783
These activities are facilitated by a tandem SIM motif on the protein.,0.9879412055015564,0.003659461624920368,0.00839933380484581
"While the first SIM binds the donor SUMO2 that is preloaded onto UBC9 and facilitates its discharge onto the substrate, the second SIM binds a scaffold SUMO on the backside of UBC9, which serves to stabilize the complex for efficient chain elongation.",0.01404282171279192,0.19385017454624176,0.7921069860458374
"In addition to regulating paralog-specific conjugation, SIMs enhance functional interactions of sumoylated proteins, thereby modulating downstream signaling events or cellular stress responses.",0.9734857082366943,0.007235468830913305,0.019278811290860176
"Notably, STUbLs utilize SIMs to interact with their SUMO-conjugated substrates.",0.47810596227645874,0.2914639413356781,0.23043008148670197
"The heterodimeric S. cerevisiae STUbL Slx5-Slx8 can localize to stalled replication forks, to DNA damage-induced foci or to double-strand breaks (DSBs) where an abundance of sumoylated conjugates has been observed.",0.996921718120575,0.0022238101810216904,0.0008544739102944732
"Slx5–Slx8 may induce ubiquitylation and proteasomal targeting to limit uncontrolled accumulation of sumoylated proteins, which might otherwise lead to cell cycle arrest [[100, 101]].",0.07646292448043823,0.05688973516225815,0.8666473627090454
"In line with this idea and as mentioned above, the mammalian STUbL RNF4 has recently emerged as a key mediator of cellular genotoxic stress responses and a component of DNA repair foci where it likely mediates efficient clearance of DNA damage factors and checkpoint proteins such as MDC1 [[82]].",0.8255957961082458,0.09360657632350922,0.08079758286476135
"In addition to mediating DNA repair and progression through cell cycle, STUbLs also function in a variety of cellular events and signal transduction pathways.",0.9323954582214355,0.01285235770046711,0.05475219711661339
"These range from transcriptional regulation via interactions with sumoylated transcription factors and steroid hormone receptors [[101, 102]] to modulation of chemotaxis in Dictyostelium by ubiquitylating the components of the MAP kinase signaling pathway [[103]].",0.9985723495483398,0.0007278051343746483,0.0006998766330070794
"Critically, STUbLs may also mediate nonproteolytic ubiquitylation of the substrates, expanding the functional consequences of SIM/SUMO interactions.",0.9742149114608765,0.008346334099769592,0.017438799142837524
